"","x"
"255","UMBS_ac104"
"256","UMBS_AC104"
"257","UMBS_ac107"
"258","UMBS_AC107"
"259","UMBS_AF_B4"
"260","UMBS_AF_D2"
"261","UMBS_bf7"
"262","UMBS_BF7"
"263","UMBS_bf8"
"264","UMBS_BF8"
"265","UMBS_bs40"
"266","UMBS_BS40"
"267","UMBS_bs40f"
"268","UMBS_bs40x"
"269","UMBS_BS42"
"270","UMBS_bs42a"
"271","UMBS_bs42b"
"272","UMBS_bs42c"
"273","UMBS_DNR1"
"274","UMBS_DNR1987"
"275","UMBS_DNR2"
"276","UMBS_DNR3"
"277","UMBS_Pearsall_NE_8801"
"278","UMBS_Pearsall_NE_8805"
"279","UMBS_Pearsall_NE_8807"
"280","UMBS_Pearsall_NE_8812"
"281","UMBS_Pearsall_NE_8819"
"282","UMBS_Pearsall_NE_8901"
"283","UMBS_Pearsall_NE_8911"
"284","UMBS_Pearsall_NE_8914"
"285","UMBS_Pearsall_NE_9048"
"286","UMBS_Pearsall_NE_9110"
"287","UMBS_Pearsall_NE_9111"
"288","UMBS_Pearsall_NE_9112"
"289","UMBS_Pearsall_NE_9113"
"290","UMBS_Pearsall_NE_9115"
"291","UMBS_Pearsall_NE_9116"
"292","UMBS_Pearsall_NE_9117"
"293","UMBS_Pearsall_NE_9118"
"294","UMBS_Pearsall_NE_9119"
"295","UMBS_Pearsall_NE_9122"
"296","UMBS_Pearsall_NE_9123"
"297","UMBS_Pearsall_NE_9126"
"298","UMBS_Pearsall_NE_9127"
"299","UMBS_Pearsall_NE_9143"
"300","UMBS_Pearsall_NE_9146"
"301","UMBS_Pearsall_NE_9148"
"302","UMBS_Pearsall_NE_9149"
"303","UMBS_Pearsall_NE_9150"
"304","UMBS_Pearsall_NE_9206"
"305","UMBS_Pearsall_NE_9207"
"306","UMBS_Pearsall_NE_9210"
"307","UMBS_Pearsall_NE_9211"
"308","UMBS_Pearsall_NE_9212"
"309","UMBS_Pearsall_NE_9213"
"310","UMBS_Pearsall_NE_9214"
"311","UMBS_Pearsall_NE_9215"
"312","UMBS_Pearsall_NE_9216"
"313","UMBS_Pearsall_NE_9217"
"314","UMBS_Pearsall_NE_9218"
"315","UMBS_Pearsall_NE_9220"
"316","UMBS_Pearsall_NE_9223"
"317","UMBS_Pearsall_NE_9237"
"318","UMBS_Pearsall_NE_9238"
"319","UMBS_Pearsall_NE_9239"
"320","UMBS_Pearsall_NE_9240"
"321","UMBS_Pearsall_NE_9271"
"322","UMBS_Pearsall_NE_9275"
"323","UMBS_Pearsall_NE_9302"
"324","UMBS_Pearsall_NE_9303"
"325","UMBS_Pearsall_NE_9309"
"326","UMBS_Pearsall_NE_9310"
"327","UMBS_Pearsall_NE_9311"
"328","UMBS_Pearsall_NE_9312"
"329","UMBS_Pearsall_NE_9318"
"330","UMBS_Pearsall_NE_9319"
"331","UMBS_Pearsall_NE_9327"
"332","UMBS_Pearsall_NE_9329"
"333","UMBS_Pearsall_NE_9333"
"334","UMBS_Pearsall_NE_9401"
"335","UMBS_Pearsall_NE_9403"
"336","UMBS_Pearsall_NE_9404"
"337","UMBS_Pearsall_NE_9407"
"338","UMBS_Pearsall_NE_9409"
"339","UMBS_Pearsall_NE_9411"
"340","UMBS_Pearsall_NE_9412"
"341","UMBS_Pearsall_NE_9414"
"342","UMBS_Pearsall_NE_9415"
"343","UMBS_Pearsall_NE_9416"
"344","UMBS_Pearsall_NE_9417"
"345","UMBS_Pearsall_NE_9418"
"346","UMBS_Pearsall_NE_9419"
"347","UMBS_Pearsall_NE_9420"
"348","UMBS_Pearsall_NE_9421"
"349","UMBS_Pearsall_NE_9422"
"350","UMBS_Pearsall_NE_9423"
"351","UMBS_Pearsall_NE_9424"
"352","UMBS_Pearsall_NE_9426"
"353","UMBS_Pearsall_NE_9427"
"354","UMBS_Pearsall_NE_9428"
"355","UMBS_Pearsall_NE_9429"
"356","UMBS_Pearsall_NE_9435"
"357","UMBS_Pearsall_NE_9436"
"358","UMBS_Pearsall_NE_9438"
"359","UMBS_Pearsall_NE_9439"
"360","UMBS_Pearsall_NE_9440"
"361","UMBS_Pearsall_NE_9446"
"362","UMBS_Pearsall_NE_9447"
"363","UMBS_Pearsall_NE_9448"
"364","UMBS_Pearsall_NE_9450"
"365","UMBS_Pearsall_NE_9451"
"366","UMBS_Pearsall_NE_9453"
"367","UMBS_Pearsall_NE_9454"
"368","UMBS_Pearsall_NE_9459"
"369","UMBS_Pearsall_NW_8801"
"370","UMBS_Pearsall_NW_8805"
"371","UMBS_Pearsall_NW_8807"
"372","UMBS_Pearsall_NW_8812"
"373","UMBS_Pearsall_NW_8819"
"374","UMBS_Pearsall_NW_8901"
"375","UMBS_Pearsall_NW_8911"
"376","UMBS_Pearsall_NW_8914"
"377","UMBS_Pearsall_NW_9048"
"378","UMBS_Pearsall_NW_9109"
"379","UMBS_Pearsall_NW_9110"
"380","UMBS_Pearsall_NW_9111"
"381","UMBS_Pearsall_NW_9112"
"382","UMBS_Pearsall_NW_9113"
"383","UMBS_Pearsall_NW_9115"
"384","UMBS_Pearsall_NW_9116"
"385","UMBS_Pearsall_NW_9117"
"386","UMBS_Pearsall_NW_9118"
"387","UMBS_Pearsall_NW_9122"
"388","UMBS_Pearsall_NW_9123"
"389","UMBS_Pearsall_NW_9126"
"390","UMBS_Pearsall_NW_9127"
"391","UMBS_Pearsall_NW_9143"
"392","UMBS_Pearsall_NW_9146"
"393","UMBS_Pearsall_NW_9148"
"394","UMBS_Pearsall_NW_9149"
"395","UMBS_Pearsall_NW_9150"
"396","UMBS_Pearsall_NW_9206"
"397","UMBS_Pearsall_NW_9207"
"398","UMBS_Pearsall_NW_9210"
"399","UMBS_Pearsall_NW_9211"
"400","UMBS_Pearsall_NW_9212"
"401","UMBS_Pearsall_NW_9213"
"402","UMBS_Pearsall_NW_9214"
"403","UMBS_Pearsall_NW_9215"
"404","UMBS_Pearsall_NW_9216"
"405","UMBS_Pearsall_NW_9217"
"406","UMBS_Pearsall_NW_9218"
"407","UMBS_Pearsall_NW_9220"
"408","UMBS_Pearsall_NW_9223"
"409","UMBS_Pearsall_NW_9237"
"410","UMBS_Pearsall_NW_9238"
"411","UMBS_Pearsall_NW_9239"
"412","UMBS_Pearsall_NW_9240"
"413","UMBS_Pearsall_NW_9271"
"414","UMBS_Pearsall_NW_9275"
"415","UMBS_Pearsall_NW_9302"
"416","UMBS_Pearsall_NW_9303"
"417","UMBS_Pearsall_NW_9309"
"418","UMBS_Pearsall_NW_9310"
"419","UMBS_Pearsall_NW_9311"
"420","UMBS_Pearsall_NW_9312"
"421","UMBS_Pearsall_NW_9318"
"422","UMBS_Pearsall_NW_9319"
"423","UMBS_Pearsall_NW_9327"
"424","UMBS_Pearsall_NW_9329"
"425","UMBS_Pearsall_NW_9333"
"426","UMBS_Pearsall_NW_9401"
"427","UMBS_Pearsall_NW_9403"
"428","UMBS_Pearsall_NW_9404"
"429","UMBS_Pearsall_NW_9407"
"430","UMBS_Pearsall_NW_9409"
"431","UMBS_Pearsall_NW_9411"
"432","UMBS_Pearsall_NW_9412"
"433","UMBS_Pearsall_NW_9414"
"434","UMBS_Pearsall_NW_9415"
"435","UMBS_Pearsall_NW_9416"
"436","UMBS_Pearsall_NW_9417"
"437","UMBS_Pearsall_NW_9418"
"438","UMBS_Pearsall_NW_9419"
"439","UMBS_Pearsall_NW_9420"
"440","UMBS_Pearsall_NW_9421"
"441","UMBS_Pearsall_NW_9422"
"442","UMBS_Pearsall_NW_9423"
"443","UMBS_Pearsall_NW_9424"
"444","UMBS_Pearsall_NW_9426"
"445","UMBS_Pearsall_NW_9427"
"446","UMBS_Pearsall_NW_9428"
"447","UMBS_Pearsall_NW_9429"
"448","UMBS_Pearsall_NW_9435"
"449","UMBS_Pearsall_NW_9436"
"450","UMBS_Pearsall_NW_9438"
"451","UMBS_Pearsall_NW_9439"
"452","UMBS_Pearsall_NW_9440"
"453","UMBS_Pearsall_NW_9446"
"454","UMBS_Pearsall_NW_9447"
"455","UMBS_Pearsall_NW_9448"
"456","UMBS_Pearsall_NW_9450"
"457","UMBS_Pearsall_NW_9451"
"458","UMBS_Pearsall_NW_9453"
"459","UMBS_Pearsall_NW_9454"
"460","UMBS_Pearsall_NW_9459"
"461","UMBS_PSA1"
"462","UMBS_psa1972"
"463","UMBS_PSA2"
"464","UMBS_PSA3"
"465","UNDE_0000"
"466","UNDE_45"
"467","UNDE_47"
"468","UNDE_48"
"469","UNDE_49"
"470","UNDE_50"
"471","UNDE_54"
"472","UNDE_58"
"473","UNDE_61"
"474","UVAX_A3_08"
"475","UVAX_A4_01"
"476","UVAX_A4_02"
"477","UVAX_A4_03"
"478","UVAX_A4_05"
"479","UVAX_A4_07"
"480","UVAX_A4_14"
"481","UVAX_A40_05"
"482","UVAX_B3_08"
