,plotID,pft,good.pft,BDF,ENF,
66,OSBS_37,ENF,ENF,0.003771115,0.996228885,-
67,OSBS_38,ENF,ENF,0.245130683,0.754869317,-
68,OSBS_39,ENF,ENF,0.092774672,0.907225328,-
69,OSBS_40,ENF,ENF,0.058779568,0.941220432,-
70,OSBS_41,ENF,ENF,0.000603034,0.999396966,-
71,OSBS_42,ENF,ENF,0.030213074,0.969786926,-
72,OSBS_43,ENF,MF,0.360266687,0.639733313,OFF!
73,OSBS_44,ENF,ENF,0.149276786,0.850723214,-
74,SCBI_46,DBF,DBF,0.994441597,NA,-
75,SCBI_47,DBF,DBF,0.991587472,NA,-
76,SCBI_49,DBF,DBF,0.995120417,NA,-
77,SCBI_55,DBF,DBF,0.994325803,NA,-
78,SCBI_63,DBF,DBF,0.99866598,NA,-
79,SCBI_66,DBF,DBF,0.990305333,NA,-
80,SERC_43,DBF,DBF,0.999904282,NA,-
81,SERC_47,DBF,DBF,0.999317877,NA,-
82,SERC_48,DBF,DBF,0.999441024,NA,-
83,SERC_49,DBF,DBF,1,NA,-
84,SERC_52,DBF,DBF,0.999263198,NA,-
85,SERC_53,DBF,DBF,0.999897225,NA,-
86,SERC_54,DBF,DBF,1,NA,-
87,SERC_55,DBF,DBF,0.981513725,NA,-
88,SERC_56,DBF,DBF,0.99850618,NA,-
89,SERC_57,DBF,DBF,1,NA,-
90,SERC_58,DBF,DBF,0.997230635,NA,-
91,SERC_60,DBF,DBF,0.996516734,NA,-
92,SERC_61,DBF,DBF,0.995461759,NA,-
93,TALL_45,MF,ENF,0.024667626,0.974854129,OFF!
94,TALL_46,MF,ENF,0.124835865,0.875164135,OFF!
95,TALL_47,MF,MF,0.337173798,0.656048566,-
96,TALL_49,MF,ENF,0.21501388,0.78498612,OFF!
97,TALL_50,MF,ENF,3.50E-05,0.999947101,OFF!
98,TALL_51,MF,ENF,0.177424837,0.821288007,OFF!
99,TALL_53,MF,MF,0.613146397,0.326091311,-
100,TALL_55,MF,DBF,0.794900293,0.205099707,OFF!
101,TALL_58,MF,MF,0.513715011,0.389120278,-
102,TALL_59,MF,DBF,0.795413974,0.125859746,OFF!
103,TALL_60,MF,MF,0.487931819,0.50310039,-
104,TALL_61,MF,ENF,0.0001925,0.999494558,OFF!
105,TREE_25,MF,MF,0.580237362,0.419762638,-
106,TREE_39,MF,MF,0.312112719,0.687798282,-
107,TREE_41,MF,DBF,0.999310081,0.000689919,OFF!
108,TREE_42,MF,DBF,0.944413962,0.055586038,OFF!
109,TREE_45,MF,MF,0.522237192,0.477762808,-
110,TREE_46,MF,DBF,0.987986854,0.012013146,OFF!
111,TREE_47,MF,DBF,0.869470436,0.130529564,OFF!
112,TREE_49,MF,DBF,1,NA,OFF!
113,TREE_53,MF,DBF,0.998657101,0.000466425,OFF!
114,TREE_56,MF,DBF,0.925234058,0.060672885,OFF!
115,UNDE_45,DBF,DBF,0.995931985,0.003966422,-
116,UNDE_47,DBF,DBF,1,NA,-
117,UNDE_48,DBF,DBF,0.858366009,0.138054798,-
118,UNDE_49,DBF,MF,0.425094506,0.574905494,OFF!
119,UNDE_50,DBF,DBF,0.97204381,0.02795619,-
120,UNDE_54,DBF,DBF,1,NA,-
121,UNDE_58,DBF,DBF,0.999830038,NA,-
122,UNDE_61,DBF,DBF,0.98530867,0.014597399,-
